number	recipe_name	ingredients	cooking_time
564	Пасха	8 ИНГРЕДИЕНТОВ	1 час
565	Гречка с грибами	10 ИНГРЕДИЕНТОВ	30 минут
566	Салат Нисуаз	11 ИНГРЕДИЕНТОВ	30 минут
567	Плов с курицей	9 ИНГРЕДИЕНТОВ	1 час 40 минут
568	Плов узбекский	8 ИНГРЕДИЕНТОВ	1 час 30 минут
569	Крем-суп из брокколи и голубого сыра	7 ИНГРЕДИЕНТОВ	50 минут
570	Салат нисуаз с базиликом	27 ИНГРЕДИЕНТОВ	20 минут
571	Оладьи пышные на кефире	6 ИНГРЕДИЕНТОВ	30 минут
572	Петербургские пышки	9 ИНГРЕДИЕНТОВ	1 час
573	Уэвос-ранчерос с чоризо	11 ИНГРЕДИЕНТОВ	10 минут
574	Гамбургер «Скандинавия»	18 ИНГРЕДИЕНТОВ	15 минут
575	Суп с фрикадельками	15 ИНГРЕДИЕНТОВ	2 часа
576	Одесский форшмак	8 ИНГРЕДИЕНТОВ	15 минут
577	Медово-лимонные куриные ножки	4 ИНГРЕДИЕНТА	55 минут
578	Остренькие синенькие	8 ИНГРЕДИЕНТОВ	20 минут
579	Песто из вяленых помидоров	6 ИНГРЕДИЕНТОВ	10 минут
580	Смёргосторта	25 ИНГРЕДИЕНТОВ	45 минут
581	Роти-джон	9 ИНГРЕДИЕНТОВ	15 минут
582	Профитроли с кремом из сливочного сыра	10 ИНГРЕДИЕНТОВ	40 минут
583	Куриные котлеты	10 ИНГРЕДИЕНТОВ	1 час
584	Сметанные лепешки с сыром и зеленью	6 ИНГРЕДИЕНТОВ	20 минут
585	Груша в красном вине	7 ИНГРЕДИЕНТОВ	2 часа
586	Крем-суп из цветной капусты	10 ИНГРЕДИЕНТОВ	15 минут
587	Английские тонкие блины	6 ИНГРЕДИЕНТОВ	30 минут
588	Паста с баклажанами	4 ИНГРЕДИЕНТА	15 минут
589	Творожный пирог из крошек	6 ИНГРЕДИЕНТОВ	45 минут
590	Салат с жареным тофу и кунжутом	18 ИНГРЕДИЕНТОВ	30 минут
591	Гирос	13 ИНГРЕДИЕНТОВ	30 минут
592	Гусь с яблочным чатни с печеными овощами	15 ИНГРЕДИЕНТОВ	2 часа
593	Карпаччо из лосося	8 ИНГРЕДИЕНТОВ	10 минут
594	Мясные котлеты	4 ИНГРЕДИЕНТА	1 час
595	Соус из сливы и острого перца	8 ИНГРЕДИЕНТОВ	40 минут
596	Харша (Оладьи из манной крупы)	6 ИНГРЕДИЕНТОВ	1 час 30 минут
597	Манник	9 ИНГРЕДИЕНТОВ	1 час
598	Гречневая каша с белыми грибами и пармезаном	7 ИНГРЕДИЕНТОВ	40 минут
599	Шурпа	10 ИНГРЕДИЕНТОВ	3 часа
600	Клаб-сэндвич	8 ИНГРЕДИЕНТОВ	15 минут
601	Закуска из кабачка с творожным сыром	8 ИНГРЕДИЕНТОВ	20 минут
602	Оливье с семгой	14 ИНГРЕДИЕНТОВ	30 минут
603	Омлет с сыром	6 ИНГРЕДИЕНТОВ	5 минут
604	Пасуц-долма	8 ИНГРЕДИЕНТОВ	2 часа
605	Быстрый лимонад	4 ИНГРЕДИЕНТА	5 минут
606	Крылышки баффало	8 ИНГРЕДИЕНТОВ	30 минут
607	Запеченный картофель по-французски (La kartofel')	8 ИНГРЕДИЕНТОВ	1 час
608	Ласси	5 ИНГРЕДИЕНТОВ	10 минут
609	Картофельное пюре по мотивам Робюшона	5 ИНГРЕДИЕНТОВ	2 часа
610	Вяленые помидоры	6 ИНГРЕДИЕНТОВ	15 минут
611	Морковный торт с цедрой	11 ИНГРЕДИЕНТОВ	50 минут
612	Шоколадная колбаса	6 ИНГРЕДИЕНТОВ	40 минут
613	Хрустящие картофельные дольки в специях	7 ИНГРЕДИЕНТОВ	45 минут
614	Пельмени из яичного теста с имбирной бараниной	12 ИНГРЕДИЕНТОВ	30 минут
615	Тушеная курица с черносливом	8 ИНГРЕДИЕНТОВ	50 минут
616	Настоящий харчо	17 ИНГРЕДИЕНТОВ	3 часа 30 минут
617	Пулькоги	9 ИНГРЕДИЕНТОВ	1 час
618	Каннеллони с мясной начинкой	12 ИНГРЕДИЕНТОВ	1 час
619	Берлинер	11 ИНГРЕДИЕНТОВ	2 часа 20 минут
620	Рыба под маринадом	14 ИНГРЕДИЕНТОВ	30 минут
621	Аджапсандали	12 ИНГРЕДИЕНТОВ	1 час 30 минут
622	Жаркое «Русское» в горшочке	11 ИНГРЕДИЕНТОВ	30 минут
623	Курица по-венски	9 ИНГРЕДИЕНТОВ	45 минут
624	Рисовая каша на молоке	4 ИНГРЕДИЕНТА	30 минут
625	Пирог со шпинатом и зеленым луком	7 ИНГРЕДИЕНТОВ	30 минут
626	Вальдорфский салат	11 ИНГРЕДИЕНТОВ	10 минут
627	Вепрево колено	13 ИНГРЕДИЕНТОВ	3 часа
628	Фриттата	6 ИНГРЕДИЕНТОВ	20 минут
629	Омлет с пряными травами	6 ИНГРЕДИЕНТОВ	5 минут
630	Грибной крем-суп	13 ИНГРЕДИЕНТОВ	40 минут
631	Чаудер	14 ИНГРЕДИЕНТОВ	45 минут
632	Меланзана алла пармиджана	12 ИНГРЕДИЕНТОВ	1 час 20 минут
633	Гречневый завтрак	7 ИНГРЕДИЕНТОВ	1 час 20 минут
634	Киш с луком-пореем	10 ИНГРЕДИЕНТОВ	1 час
635	Паста качо-э-пепе	5 ИНГРЕДИЕНТОВ	20 минут
636	Мусака с бараниной	13 ИНГРЕДИЕНТОВ	1 час 30 минут
637	Гороховый суп с копчеными ребрышками и зеленью	11 ИНГРЕДИЕНТОВ	50 минут
638	Капуста по-грузински	10 ИНГРЕДИЕНТОВ	30 минут
639	Салат из селедки и апельсинов	8 ИНГРЕДИЕНТОВ	20 минут
640	Сборная солянка	19 ИНГРЕДИЕНТОВ	3 часа
641	Салат с инжиром, авокадо и фермерским сыром	11 ИНГРЕДИЕНТОВ	15 минут
642	Пастила	4 ИНГРЕДИЕНТА	10 часов
643	Пирог с творожной начинкой	8 ИНГРЕДИЕНТОВ	1 час
644	Омлет с вешенками	6 ИНГРЕДИЕНТОВ	10 минут
645	Лоранский пирог с курицей и грибами	11 ИНГРЕДИЕНТОВ	35 минут
646	Черри-томато киш	12 ИНГРЕДИЕНТОВ	50 минут
647	Нэмы со свининой	14 ИНГРЕДИЕНТОВ	1 час 30 минут
648	Гречневая лапша с яйцами и сыром тофу	9 ИНГРЕДИЕНТОВ	10 минут
649	Чиабатта	5 ИНГРЕДИЕНТОВ	5 часов
650	Овсяное печенье	12 ИНГРЕДИЕНТОВ	25 минут
651	Лазанья с говяжьим фаршем	19 ИНГРЕДИЕНТОВ	1 час
652	Мясная окрошка Вильяма Похлебкина	18 ИНГРЕДИЕНТОВ	20 минут
653	Сырный трайфл с ягодами	8 ИНГРЕДИЕНТОВ	20 минут
654	Филе индейки, тушеное со сметаной	6 ИНГРЕДИЕНТОВ	35 минут
655	Ризотто алла миланезе	9 ИНГРЕДИЕНТОВ	25 минут
656	Французский блинный торт с нутеллой и апельсиновой цедрой	12 ИНГРЕДИЕНТОВ	1 час
657	Табуле с вялеными помидорами	12 ИНГРЕДИЕНТОВ	20 минут
658	Салат с ростбифом	13 ИНГРЕДИЕНТОВ	1 час
659	Тонкацу	7 ИНГРЕДИЕНТОВ	30 минут
660	Похлебка из гороха маш с мятой	10 ИНГРЕДИЕНТОВ	40 минут
661	Мятное печенье	5 ИНГРЕДИЕНТОВ	35 минут
662	Моцарелла в карете	7 ИНГРЕДИЕНТОВ	30 минут
663	Медовая коврижка	7 ИНГРЕДИЕНТОВ	1 час
664	Блинчики без яиц	7 ИНГРЕДИЕНТОВ	30 минут
665	Жареная картошка	6 ИНГРЕДИЕНТОВ	40 минут
666	Куриные окорочка в кленовом сиропе	7 ИНГРЕДИЕНТОВ	30 минут
667	Жареный сыр в лаваше	3 ИНГРЕДИЕНТА	15 минут
668	Жареный халуми с перцами и нектаринами	13 ИНГРЕДИЕНТОВ	20 минут
669	Яблочный пирог сестер Симили	10 ИНГРЕДИЕНТОВ	1 час 10 минут
670	Теплый салат с баклажанами, болгарским перцем и фетой	9 ИНГРЕДИЕНТОВ	45 минут
671	Салат «Мимоза»	6 ИНГРЕДИЕНТОВ	40 минут
672	Свекольный лосось	9 ИНГРЕДИЕНТОВ	1 сутки
673	Салат из капусты с креветками	14 ИНГРЕДИЕНТОВ	15 минут
674	Жульен с курицей и грибами	6 ИНГРЕДИЕНТОВ	40 минут
675	Китайский кисло-сладкий соус	6 ИНГРЕДИЕНТОВ	20 минут
676	Онигири с тунцом	7 ИНГРЕДИЕНТОВ	1 час 30 минут
677	Буррито с жареными овощами и песто	14 ИНГРЕДИЕНТОВ	25 минут
678	Кексы на молоке	7 ИНГРЕДИЕНТОВ	30 минут
679	Минималистический плов с курицей	7 ИНГРЕДИЕНТОВ	2 часа
680	Салат из телячьего языка	15 ИНГРЕДИЕНТОВ	15 минут
681	Панна-котта	4 ИНГРЕДИЕНТА	10 минут
682	Английский салат	6 ИНГРЕДИЕНТОВ	40 минут
683	Сочный пирог с курицей из слоеного теста	8 ИНГРЕДИЕНТОВ	30 минут
684	Салат из фасоли и тунца	7 ИНГРЕДИЕНТОВ	4 минуты
685	Запеканка по-итальянски	7 ИНГРЕДИЕНТОВ	1 час
686	Том ям кунг	16 ИНГРЕДИЕНТОВ	30 минут
687	Картофельный салат с яйцами и тунцом	10 ИНГРЕДИЕНТОВ	45 минут
688	Рыбные котлеты	10 ИНГРЕДИЕНТОВ	40 минут
689	Кокосовое печенье	6 ИНГРЕДИЕНТОВ	25 минут
690	Яблочный штрудель с изюмом и корицей	9 ИНГРЕДИЕНТОВ	30 минут
691	Картофельные чуррос	11 ИНГРЕДИЕНТОВ	40 минут
692	Миллионбеф	13 ИНГРЕДИЕНТОВ	1 час
693	Булочки с корицей	9 ИНГРЕДИЕНТОВ	2 часа
694	Борщ с черносливом, фасолью и копченой грудинкой	18 ИНГРЕДИЕНТОВ	3 часа
695	Яблочно-сырный коблер	8 ИНГРЕДИЕНТОВ	1 час
696	Салат «Газапхули»	8 ИНГРЕДИЕНТОВ	10 минут
697	Паста арраббьята	9 ИНГРЕДИЕНТОВ	30 минут
698	Чизкейк с клубникой	8 ИНГРЕДИЕНТОВ	1 час 10 минут
699	Роллы «Калифорния» с крабом	9 ИНГРЕДИЕНТОВ	45 минут
700	Яблочный сорбет	5 ИНГРЕДИЕНТОВ	1 час
701	Менемен	10 ИНГРЕДИЕНТОВ	25 минут
702	Бразильский стейк пиканья	6 ИНГРЕДИЕНТОВ	20 минут
703	Телячья печень с картофельным пюре	8 ИНГРЕДИЕНТОВ	15 минут
704	SOS: сельдь, сыр и снапс	19 ИНГРЕДИЕНТОВ	45 минут
705	Китайское печенье с предсказаниями	5 ИНГРЕДИЕНТОВ	1 час
706	Курица с шафраном и фисташками	11 ИНГРЕДИЕНТОВ	1 час
707	Томленый нут с оливковым маслом и тимьяном	5 ИНГРЕДИЕНТОВ	1 час 30 минут
708	Откидной рататуй	15 ИНГРЕДИЕНТОВ	40 минут
709	Круассаны с шоколадом	4 ИНГРЕДИЕНТА	1 час
710	Азу	13 ИНГРЕДИЕНТОВ	2 часа
711	Мисосиру	6 ИНГРЕДИЕНТОВ	30 минут
712	Чикен тикка-масала	22 ИНГРЕДИЕНТА	1 час
713	Луковые колечки (onion rings)	6 ИНГРЕДИЕНТОВ	25 минут
714	Гамбо	22 ИНГРЕДИЕНТА	1 час 30 минут
715	Спринг-роллы	15 ИНГРЕДИЕНТОВ	30 минут
716	Чечевица с овощами	16 ИНГРЕДИЕНТОВ	1 час
717	Шоколадные трюфели в какао	4 ИНГРЕДИЕНТА	20 минут
718	Паштет из скумбрии холодного копчения	7 ИНГРЕДИЕНТОВ	20 минут
719	Домашние равиоли с рикоттой и шпинатом	8 ИНГРЕДИЕНТОВ	1 час
720	Филе миньон с соусом борделез и картофелем конфи	12 ИНГРЕДИЕНТОВ	40 минут
721	Рисовая каша	6 ИНГРЕДИЕНТОВ	40 минут
722	Чуррос	7 ИНГРЕДИЕНТОВ	30 минут
723	Желтый смузи с яблоками, базиликом и имбирем	8 ИНГРЕДИЕНТОВ	5 минут
724	Классический гаспачо	9 ИНГРЕДИЕНТОВ	30 минут
725	Осетрина в гранатовом соусе	6 ИНГРЕДИЕНТОВ	1 час
726	Тыквенный суп-крем	13 ИНГРЕДИЕНТОВ	30 минут
727	Плюшки	5 ИНГРЕДИЕНТОВ	1 час
728	Тифлисский луковый пирог	8 ИНГРЕДИЕНТОВ	50 минут
729	Тыква, запеченная с сыром	7 ИНГРЕДИЕНТОВ	1 час 30 минут
730	Баклажаны по-пармски с моцареллой	8 ИНГРЕДИЕНТОВ	30 минут
731	Вителло-тоннато	19 ИНГРЕДИЕНТОВ	1 час
732	Турецкая пицца пиде	17 ИНГРЕДИЕНТОВ	2 часа
733	Легкий куриный суп с зеленью	9 ИНГРЕДИЕНТОВ	25 минут
734	Яичница по-французски	4 ИНГРЕДИЕНТА	15 минут
735	Индейка под соусом из грецких орехов	8 ИНГРЕДИЕНТОВ	50 минут
736	Куриное филе в соусе сырном	3 ИНГРЕДИЕНТА	30 минут
737	Форшмак с мацой	8 ИНГРЕДИЕНТОВ	15 минут
738	Колбаски с паприкой и вялеными помидорами	11 ИНГРЕДИЕНТОВ	45 минут
739	Ленинградский рассольник	14 ИНГРЕДИЕНТОВ	3 часа
740	Паста с семгой в сливочно-чесночном соусе	7 ИНГРЕДИЕНТОВ	25 минут
741	Суп-пюре из чечевицы	7 ИНГРЕДИЕНТОВ	30 минут
742	Куриные отбивные в кляре	7 ИНГРЕДИЕНТОВ	1 час 30 минут
743	Соус бешамель	4 ИНГРЕДИЕНТА	10 минут
744	Сладкая манная каша	4 ИНГРЕДИЕНТА	15 минут
745	Маффины с булгуром	8 ИНГРЕДИЕНТОВ	35 минут
746	Буррито	14 ИНГРЕДИЕНТОВ	40 минут
747	Салат с хрустящими баклажанами и сладким соусом чили	12 ИНГРЕДИЕНТОВ	15 минут
748	Ревифья	13 ИНГРЕДИЕНТОВ	2 часа
749	Плов «Чайханский»	10 ИНГРЕДИЕНТОВ	3 часа
750	Шашлык из курицы на кефире	9 ИНГРЕДИЕНТОВ	20 минут
751	Слоеный салат с курицей и шампиньонами	8 ИНГРЕДИЕНТОВ	1 час
752	Лысые помидоры	6 ИНГРЕДИЕНТОВ	10 минут
753	Драники из картофеля	5 ИНГРЕДИЕНТОВ	30 минут
754	Фасолада	8 ИНГРЕДИЕНТОВ	2 часа
755	Нежный омлет с грибами, специями и сыром	7 ИНГРЕДИЕНТОВ	15 минут
756	Капуста с анчоусами	4 ИНГРЕДИЕНТА	5 минут
757	Быстрый пирог с ягодами	8 ИНГРЕДИЕНТОВ	45 минут
758	Крем-суп из брокколи с плавленным сыром	9 ИНГРЕДИЕНТОВ	25 минут
759	Имеретинские хачапури	10 ИНГРЕДИЕНТОВ	1 час 20 минут
760	Жареный сулугуни	3 ИНГРЕДИЕНТА	10 минут
761	Пате-де-кампань	13 ИНГРЕДИЕНТОВ	1 час 20 минут
762	Салат из перца по-баскски на белых сухарях	10 ИНГРЕДИЕНТОВ	20 минут
763	Чечевица с шампиньонами	9 ИНГРЕДИЕНТОВ	30 минут
764	Луссебуллар	9 ИНГРЕДИЕНТОВ	1 час
765	Львовский сырник	9 ИНГРЕДИЕНТОВ	1 час
766	Алиго	8 ИНГРЕДИЕНТОВ	45 минут
767	Пан-пердю	8 ИНГРЕДИЕНТОВ	10 минут
768	Суп из шампиньонов с перловкой	11 ИНГРЕДИЕНТОВ	30 минут
769	Имам-баялды	12 ИНГРЕДИЕНТОВ	1 час 30 минут
770	Энчилада	18 ИНГРЕДИЕНТОВ	1 час 20 минут
771	Арбуз с сыром фета	6 ИНГРЕДИЕНТОВ	10 минут
772	Тесто для пиццы с любой начинкой	7 ИНГРЕДИЕНТОВ	40 минут
773	Пёркёльт и турошчуса	14 ИНГРЕДИЕНТОВ	2 часа
774	Груши в вине	8 ИНГРЕДИЕНТОВ	40 минут
775	Сочники	8 ИНГРЕДИЕНТОВ	1 час
776	Фрикадельки в кисло-сладком соусе	11 ИНГРЕДИЕНТОВ	40 минут
777	Нежный суп-пюре из тыквы	8 ИНГРЕДИЕНТОВ	45 минут
778	Кюфта-бозбаш	15 ИНГРЕДИЕНТОВ	2 часа
779	Красная фасоль с тунцом и лапшой	11 ИНГРЕДИЕНТОВ	20 минут
780	Запеченная курица с арахисом «Летящий Якоб»	9 ИНГРЕДИЕНТОВ	1 час
781	Салат с куриным филе, сыром и орехами	7 ИНГРЕДИЕНТОВ	30 минут
782	Меренги (безе)	2 ИНГРЕДИЕНТА	1 час 45 минут
783	Севиче из горбуши	14 ИНГРЕДИЕНТОВ	10 минут
784	Сашими из лосося	10 ИНГРЕДИЕНТОВ	5 минут
785	Запеканка из кабачков с фаршем и помидорами	8 ИНГРЕДИЕНТОВ	1 час
786	Чизкейк из рикотты с малиной	9 ИНГРЕДИЕНТОВ	1 час 30 минут
787	Куриные ножки в соево-медовом соусе	7 ИНГРЕДИЕНТОВ	35 минут
788	Каша из булгура с сухими фруктами и медом	9 ИНГРЕДИЕНТОВ	20 минут
789	Кекс апельсиновый	7 ИНГРЕДИЕНТОВ	1 час
790	Салат «Цезарь» с чесночным майонезом	8 ИНГРЕДИЕНТОВ	35 минут
791	Горячие бутерброды	5 ИНГРЕДИЕНТОВ	15 минут
792	Крем «Рафаэлло»	4 ИНГРЕДИЕНТА	20 минут
793	Белый глёг	5 ИНГРЕДИЕНТОВ	35 минут
794	Каннеллони с козьим сыром	8 ИНГРЕДИЕНТОВ	45 минут
795	Поррусальда кон бакалао	9 ИНГРЕДИЕНТОВ	40 минут
796	Свиная отбивная с шалфеем и сливками	7 ИНГРЕДИЕНТОВ	25 минут
797	Куриные грудки, запеченые с травами	10 ИНГРЕДИЕНТОВ	35 минут
798	Овсянка	6 ИНГРЕДИЕНТОВ	30 минут
799	Фалафель	18 ИНГРЕДИЕНТОВ	45 минут
800	Луковый конфитюр	9 ИНГРЕДИЕНТОВ	3 часа
801	Французские гренки к завтраку	5 ИНГРЕДИЕНТОВ	10 минут
802	Творожное печенье ракушки «Гусиные лапки»	5 ИНГРЕДИЕНТОВ	1 час
803	Морковный пирог с рикоттой	18 ИНГРЕДИЕНТОВ	1 час
804	Теплый картофельный салат с маслинами и перцем	9 ИНГРЕДИЕНТОВ	40 минут
805	Креольский салат с бататом	12 ИНГРЕДИЕНТОВ	1 час
806	Наггетсы	8 ИНГРЕДИЕНТОВ	25 минут
807	Греческий пирог с мясом	9 ИНГРЕДИЕНТОВ	1 час
808	Жареные морепродукты с чесноком и томатами	11 ИНГРЕДИЕНТОВ	20 минут
809	Удон с курицей	10 ИНГРЕДИЕНТОВ	25 минут
810	Цыплята со сливочным маслом, чесноком и петрушкой	6 ИНГРЕДИЕНТОВ	40 минут
811	Идеальное картофельное пюре	6 ИНГРЕДИЕНТОВ	30 минут
812	Кошинья	20 ИНГРЕДИЕНТОВ	1 час
813	Салат с брюссельской капустой и гранатом	14 ИНГРЕДИЕНТОВ	20 минут
814	Творожная запеканка с манной крупой и ванилью	6 ИНГРЕДИЕНТОВ	1 час
815	Витаминный салат	6 ИНГРЕДИЕНТОВ	20 минут
816	Фо-бо	18 ИНГРЕДИЕНТОВ	4 часа 30 минут
817	Чернослив в шоколаде	6 ИНГРЕДИЕНТОВ	15 минут
818	Джамбалайя	22 ИНГРЕДИЕНТА	1 час
819	Печеная тыква с кашей из маша	13 ИНГРЕДИЕНТОВ	40 минут
820	Сырники творожные	7 ИНГРЕДИЕНТОВ	30 минут
821	Чихиртма	11 ИНГРЕДИЕНТОВ	3 часа
822	Гречка по-купечески	13 ИНГРЕДИЕНТОВ	40 минут
823	Салат с тунцом и фасолью по-тоскански	8 ИНГРЕДИЕНТОВ	10 минут
824	Печенье с шоколадной крошкой	9 ИНГРЕДИЕНТОВ	40 минут
825	Теплый салат с курицей и стручковой фасолью	8 ИНГРЕДИЕНТОВ	30 минут
826	Спагетти с курицей в молочном соусе	5 ИНГРЕДИЕНТОВ	30 минут
827	Завтрак детства	7 ИНГРЕДИЕНТОВ	5 минут
828	Торт с вишней и кремом из сыра маскарпоне	7 ИНГРЕДИЕНТОВ	1 час
829	Рождественский глинтвейн	13 ИНГРЕДИЕНТОВ	20 минут
830	Долма из виноградных листьев	12 ИНГРЕДИЕНТОВ	1 час 30 минут
831	Килувыйлейб	6 ИНГРЕДИЕНТОВ	15 минут
832	Помидоры с сыром и чесноком	7 ИНГРЕДИЕНТОВ	30 минут
833	Драники с квашеной капустой	13 ИНГРЕДИЕНТОВ	20 минут
834	Яичница с помидорами	7 ИНГРЕДИЕНТОВ	15 минут
835	Торт шоколадный с шоколадным кремом	6 ИНГРЕДИЕНТОВ	30 минут
836	Брауни	8 ИНГРЕДИЕНТОВ	45 минут
837	Эклеры с заварным кремом	12 ИНГРЕДИЕНТОВ	1 час
838	Суфле «Гран-Марнье»	9 ИНГРЕДИЕНТОВ	30 минут
839	Вишисуаз	11 ИНГРЕДИЕНТОВ	2 часа
840	Чесночный рис	6 ИНГРЕДИЕНТОВ	30 минут
841	Гречневая лапша с креветками, брокколи и помидорами черри	9 ИНГРЕДИЕНТОВ	20 минут
842	Гранола (мюсли) с орехами и сухофруктами	8 ИНГРЕДИЕНТОВ	50 минут
843	Шопский салат с перцем чили	10 ИНГРЕДИЕНТОВ	30 минут
844	Салат «Маса-Бармаса»	11 ИНГРЕДИЕНТОВ	15 минут
845	Креветки с хересом	7 ИНГРЕДИЕНТОВ	5 минут
846	Тарелка паштетов	24 ИНГРЕДИЕНТА	3 часа
847	Макароны по-флотски с томатной пастой	7 ИНГРЕДИЕНТОВ	30 минут
848	Огуречный суп с мятой	9 ИНГРЕДИЕНТОВ	7 минут
849	Японский чизкейк	10 ИНГРЕДИЕНТОВ	2 часа
850	Мясной хлеб	10 ИНГРЕДИЕНТОВ	1 час
851	Пирог с брусникой и яблоками	7 ИНГРЕДИЕНТОВ	1 час 10 минут
852	Сэндвичи с семгой и творожным сыром	8 ИНГРЕДИЕНТОВ	5 минут
853	Сельдь под шубой с яйцами	7 ИНГРЕДИЕНТОВ	1 час
854	Медовые пряники	13 ИНГРЕДИЕНТОВ	2 часа
855	Томатный суп-пюре	11 ИНГРЕДИЕНТОВ	1 час
856	Цуц	8 ИНГРЕДИЕНТОВ	1 час
857	Суп-пюре из кабачков с зеленью	7 ИНГРЕДИЕНТОВ	30 минут
858	Пшенная каша	6 ИНГРЕДИЕНТОВ	40 минут
859	Тефтели из трески	8 ИНГРЕДИЕНТОВ	50 минут
860	Мясные котлеты с сыром	9 ИНГРЕДИЕНТОВ	20 минут
861	Легендарный сливовый пирог	14 ИНГРЕДИЕНТОВ	1 час 30 минут
862	Плацинда с творогом	8 ИНГРЕДИЕНТОВ	1 час 30 минут
863	Пад-тай с курицей	15 ИНГРЕДИЕНТОВ	30 минут
864	Фиш-энд-чипс в пивном кляре	8 ИНГРЕДИЕНТОВ	1 час
865	Торт «Муравейник»	8 ИНГРЕДИЕНТОВ	1 час
866	Традиционные креп-сюзетт	10 ИНГРЕДИЕНТОВ	45 минут
867	Куриный салат с ананасами	7 ИНГРЕДИЕНТОВ	20 минут
868	Клубничный пирог с ванилью	8 ИНГРЕДИЕНТОВ	1 час 15 минут
869	Тост «Скаген» с креветками	8 ИНГРЕДИЕНТОВ	15 минут
870	Паста фарфалле в сливочном соусе с креветками	9 ИНГРЕДИЕНТОВ	45 минут
871	Арболада с грушевым соусом	7 ИНГРЕДИЕНТОВ	10 минут
872	Паста карбонара «Pasta alla carbonara»	9 ИНГРЕДИЕНТОВ	30 минут
873	Рулетики с семгой и сыром филадельфия	4 ИНГРЕДИЕНТА	15 минут
874	Классические котлеты по-киевски	9 ИНГРЕДИЕНТОВ	30 минут
875	Салат с жареным халуми, сладким перцем и маслинами	10 ИНГРЕДИЕНТОВ	20 минут
876	Рижская ватрушка	12 ИНГРЕДИЕНТОВ	1 час 30 минут
877	Картофельный суп-пюре по-японски	9 ИНГРЕДИЕНТОВ	30 минут
878	Куриный суп	15 ИНГРЕДИЕНТОВ	40 минут
879	Темпура из овощей и морепродуктов	15 ИНГРЕДИЕНТОВ	25 минут
880	Гаспачо	8 ИНГРЕДИЕНТОВ	15 минут
881	Спагетти болоньезе	17 ИНГРЕДИЕНТОВ	2 часа
882	Свинина под соево-сметанным соусом	7 ИНГРЕДИЕНТОВ	45 минут
883	Очень шоколадный пирог	8 ИНГРЕДИЕНТОВ	40 минут
884	Теплый салат из зеленой фасоли	8 ИНГРЕДИЕНТОВ	15 минут
885	Омлет с лососем и творожным сыром	11 ИНГРЕДИЕНТОВ	15 минут
886	Брауни с бананом и темным шоколадом	7 ИНГРЕДИЕНТОВ	50 минут
887	Куриные котлеты с майонезом	5 ИНГРЕДИЕНТОВ	20 минут
888	Тыквенный пирог	14 ИНГРЕДИЕНТОВ	4 часа
889	Каша карри из дикого риса с креветками	12 ИНГРЕДИЕНТОВ	50 минут
890	Торт «Полет»	9 ИНГРЕДИЕНТОВ	2 часа 20 минут
891	Хрустящее тесто для пиццы	5 ИНГРЕДИЕНТОВ	15 минут
892	Плов из киноа с грибами	7 ИНГРЕДИЕНТОВ	25 минут
893	Омлет	7 ИНГРЕДИЕНТОВ	15 минут
894	Гороховый суп	9 ИНГРЕДИЕНТОВ	2 часа
895	Бургер	16 ИНГРЕДИЕНТОВ	25 минут
896	Стропвафли	9 ИНГРЕДИЕНТОВ	1 час 30 минут
897	Тыквенные блинчики с корицей	11 ИНГРЕДИЕНТОВ	20 минут
898	Рамен со свиным фаршем	12 ИНГРЕДИЕНТОВ	30 минут
899	Паста с тунцом и томатами	10 ИНГРЕДИЕНТОВ	30 минут
900	Панкейки на кефире	8 ИНГРЕДИЕНТОВ	30 минут
901	Морковно-яблочные маффины	13 ИНГРЕДИЕНТОВ	40 минут
902	Простые тонкие блины на молоке	7 ИНГРЕДИЕНТОВ	40 минут
903	Чили кон карне со стаутом	10 ИНГРЕДИЕНТОВ	3 часа
904	Гравлакс с картофельным салатом	17 ИНГРЕДИЕНТОВ	45 минут
905	Чикагская пицца	18 ИНГРЕДИЕНТОВ	2 часа 20 минут
906	Соус для спагетти болоньезе	7 ИНГРЕДИЕНТОВ	30 минут
907	Кисель	5 ИНГРЕДИЕНТОВ	20 минут
908	Маффины с яблоками	11 ИНГРЕДИЕНТОВ	45 минут
909	Торт «Сантьяго»	7 ИНГРЕДИЕНТОВ	1 час 30 минут
910	Итальянские пончики	6 ИНГРЕДИЕНТОВ	15 минут
911	Цитрусовый сок с чесноком, имбирем и кайенским перцем	6 ИНГРЕДИЕНТОВ	2 минуты
912	Острый салат с кукурузой и айсбергом	16 ИНГРЕДИЕНТОВ	15 минут
913	Шоколадные маффины с шоколадом и орешками	7 ИНГРЕДИЕНТОВ	1 час
914	Яичница в помидоре	6 ИНГРЕДИЕНТОВ	10 минут
915	Суп из белых грибов	9 ИНГРЕДИЕНТОВ	1 час
916	Драники с сыром и чесноком	9 ИНГРЕДИЕНТОВ	30 минут
917	Перловка с фетой, томатами и укропом	6 ИНГРЕДИЕНТОВ	35 минут
918	Пирог с беконом и моцареллой	6 ИНГРЕДИЕНТОВ	40 минут
919	Перловая каша с маслом	3 ИНГРЕДИЕНТА	1 час
920	Салат из апельсина с зеленым горошком	9 ИНГРЕДИЕНТОВ	15 минут
921	Суп из батата с кленовым сиропом	13 ИНГРЕДИЕНТОВ	1 час
922	Сангрия	12 ИНГРЕДИЕНТОВ	20 минут
923	Куриные грудки гриль с луком-пореем конфи и песто из сезонных трав	13 ИНГРЕДИЕНТОВ	30 минут
